andyyang,Andy,Yang,andyyang,andy.yang@gmail.com,,"Harry Potter 1, Harry Potter 2, Harry Potter 3, Harry Potter 4, Harry Potter 5","China, South Korea, Japan, Hong Kong, Singapore","Greens, Beans, Potatoe, Tomatoe, Ham",,"Avengers1, Avengers2, Avengers3,  EndGame, IronMan1",,"Python, JavaScript, Java, OCaml, C",,
anltran,Anthony,Tran,Kano,kano@dragon.com,,,"Japan, Vietnam, Israel, South Korea, Italy",,"Kingdom Hearts, Persona 4 Golden, The World Ends With You, Zero Escape, Danganronpa","Spirited Away, A Silent Voice, Parasite, Howl's Moving Castle, Castle in the Sky",,"MIPS, Java, Python, Javascript, OCaml",,"Spongebob Squarepants, Avatar: The Last Airbender, Regular Show, Adventure Time, Doctor Who"
apizzulli,Anthony,Pizzulli,mutexMonster,antyp@gmail.com,"Deer, Cow, Chicken, Lamb, Salmon",,"Italy, Japan, Australia, France, South Korea","Shrimp scampi, Mac & cheese, Fried rice, Jerk chicken, Tacos",,,"Brain Damage, Time, Money, Another Brick in the Wall Pt.2, Breathe (In the Air)","JavaScript, Java, MATLAB, C, MIPS",,
arberkman,Aaron,Berkman,arberkman,arberkman@email.com,"Cow, Chicken, Pig, Lamb, Duck",,"Japan, Israel, Switzerland, UAE, Germany","Burgers, Tacos, Bacon, Steak, Pizza","Elder Scrolls, Halo, Bioshock, Destiny, GTA","Interstellar, Pulp Fiction, Donny Darko, Inglourious Basterds, The Prestige",,"C, Java, Python, OCaml, Javascript",,"Rick and Morty, Breaking Bad, South Park, Spongebob, Malcolm in the middle"
atojeda,Andrew,Ojeda,H8TRSHADES,sigmabolz@gotem.com,"Salmon, Cow, Chicken, Fish, Horse",,"Ireland, Chile, Japan, South Korea, France",,"Legend of Zelda: Majora's Mask, Super Smash Bros. Ultimate, Star Fox 64, Legend of Zelda: Breath of the Wild, Resident Evil 4",,"In The Flesh?, Wish You Were Here, Mother, Money, Another Brick In The Wall Part II","OCaml, MIPS, LOLCODE, Stack Overflow, F",,
avparmar,Avish ,Parmar,LoneS-,orbit.actual@yahoo.com,"Chicken, Cow, Monkey","Why We Sleep, How To Think Like A Monk, 7 Habits of Highly Effective People, Diary of a Wimpy Kid, Breath","Switzerland, Japan, South Korea, Spain, England","Masala Dosa, Pizza, Pav Bhaji, Pani Puri, Chana Masala","CS:GO, Valorant, World Of Tanks, Minecraft, Chess","Interstellar, Apollo 13, Castaway","Gunner's Dream, Comfortably Numb, Paranoid Eyes, Time, Shine On You Crazy Diamond","Java, JavaScript, Python, C++, R","Chelsea F.C., New York City F.C., LA Galaxy, Seattle Seahawks, New York Yankees","Cosmos, The Office, Squid Game, Lupin, Attack On Titan"
aypaul,Ayon,Paul,BeanFiddler,aypaul@aypaul.com,"Lamb, Chicken, Pig, Shrimp, Salmon","A Thousand Splendid Suns, Kite Runner, Maze Runner, When the Game was Ours, The Lightning Thief","Italy, Japan, France, England,Dubai","Butter chicken, chicken tikka masala, lamb chops, bacon, pizza","GTA 5, Spiderman, Batman Arkham Knight, NBA 2K16, Call of Duty Warzone","Avengers Endgame, Creed 2, The Shining, Coach Carter,  Toy Story 3",,"JavaScript, Java, Python, C#, Swift","NY Giants, NY Knicks, NY Yankees, New Orleans Saints, Los Angeles Lakers","Breaking Bad, Attack on Titan, Fullmetal Alchemist Brotherhood, Prison Break, Death Note"
aziafat,Anees,Ziafat,cripmac,aziaf@gmail.com,"Chicken, Cow, Salmon, Lamb, Turkey",,"Japan, Botswana, Russia, China, New Zealand","Chicken on rice, Sushi, Steak, Cheeseburger, Goat curry","Minecraft, Pokemon Platinum, CS:GO, Roblox, Bloons TD6 ","City of God, Gladiator, Shawshank Redemption, Spider-Man, Her",,"Java, Python, Javascript, C, MIPS",,"Breaking Bad, Mad Men, Better Call Saul, Cowboy Bebop, Death Note"
bennchen,Bennie,Chen,bennchen,benn@top.com,"Shrimp, Fish, Chicken, Beef, Pork",,"Korea, Japan, China, Taiwan, Canada","Salmon, rice, Fish tofu, Kimbap, roast pork",,,,"Python, Java, Javascript, C, MIPS",,
brllam,Brandon,Lam,Lamboyant,lamb@gmail.com,"Chicken, Salmon, Cow, Tuna, Tasselled Wobbegong",,"Japan, Hong Kong, South Korea, Singapore, U.K.","Adeptus' Temptation, Calla Lily Seafood Soup, Jueyun Chili Chicken, Chicken-Mushroom Skewer, Teyvat Fried Egg","League of Legends, Minecraft, Pokemon Showdown, New World, osu!","Avengers Endgame, Intersellar, The Beauty Inside, Demon Slayer: Mugen Train, CJ7",,"Java, Python, SQL, Javascript, Visual Basic","TSM, SKT T1, G2, FPX, TL","Anohana, Fate/Zero, Arcane, Promised Neverland (1st season only), Steins;Gate"
cannoor,,,,,,,,,,,,,,
caozheng,,,,,,,,,,,,,,
chencyang,Chencheng,Yang,fakeaccount,fakeacc@fake.com,"Cow, Chicken, Pig, Sheep, Dragon",,"Sweden, Norway, Netherland, Iceland, Switzerland","Fake Burrito, Fake Pasta, Fake Pizza, Fake Burger, Fake rice","GTA1, GTA2, GTA3, GTA4, GTA5",,,"C, C++, Python, Rust, Go",,
chengdong,Chengzhi,Dong,zzzZhi,zzzZhi@gmail.com,"Lamb, Salmon, Chicken, Beef, Pig","Harry Potter, The Three-Body Problem, The Hitchhiker's Guide to the Galaxy, The Giver, Murder on the Orient Express","China, Japan, Korea, Italy, France","Sushi, Ramen, Steak, Pizza, Sandwich","Maplestory, Monster Hunter, League of Legends, Pokemon, Terraria","3 Idiots, The Godfather, Hachi: A Dog's Tale, Life of Pi, Kung Fu Hustle","Wish You Were Here, The Final Cut, Comfortably Numb, Shine On You Crazy Diamond, Echoes","Java, Python, JavaScript, C, C++","RNG, EDG, IG, WE, FPX","The Office, Friends, The Big Bang Theory, Game of Thrones, Rick and Morty"
chrchau,Christina,Chau,cchau,cchau@gmail.com,"Pig, Shrimp, Fish, Chicken, Cow","Throne of Glass, Crazy Rich Asians, The One that Got Away, Atomic Habits, Game of Thrones","Korea, France, Vietnam, Japan, Taiwan",,"Minecraft, Mario Odyssey, Animal Crossing, Cats Quest, Zelda Breath of the Wild","Crazy Rich Asians, Shang Chi, This is Love, Raya, The Eternals",,"Java, Python, Swift, javascipt, C++",,"Dynasty, Lucifer, Friends , New Girl, You"
chunghkim,Aisen,Kim,akakak,ak15@gmail.com,"Chicken, Beef, Lamb, Fish, Turkey",,"Korea, Spain, Portugal, Taiwan, Mexico","Pad Thai, Chipotle, Rice, Chicken Breast, Greek Yogurt",,,,"Java, Python, Typescript, Go, Kotlin","Tottenham Hotspurs, Toronto Blue Jays, Calgary Flames, San Diego Padres, New York Rangers",
chwoo,Chester,Woo,c_woo,chester@chester.com,"Cow,Lamb,Chicken,Pork,Duck",,"Germany,Japan,Poland,Korea,China",,,,,"Python,Java,C++,PHP,Perl",,
crcollinswor,Carwyn,Collinsworth,Mckenna_Dilemma,mc@gmail.com,"Chicken,Salmon,Dog,Human,Giraffe","Harry Potter 3, Harry Potter 4, Harry Potter 5, Harry Potter 6, Harry Potter 7","Germany,Spain,Italy,Brazil,Canada","Garbage Plate,Hot Dog,Burger,Salad,Squid","Patty Cake,GTAV,Dota2,LoL,Minecraft","Catch me if you can,Godzilla vs Kong,The Lion King,FF5, FF6","The Final Cut, Stop, Seamus, Outside the Wall, Welcome to the machine","C,C++,C#,D-Flat Major,LolCode","New York Mets, New York Jets, New York Yankees, Los Angeles Rams, NY Giants","Avatar, Legend of Korra, How to catch a Murderer, Rick and Morty, One Punch Man"
cyee,Coby,Yee,guest,fake@email.com,"Chicken, Fish, Pig, Cow, Turkey","Diary of a Wimpy Kid, Diary of a Wimpy Kid 1, Diary of a Wimpy Kid 2, Diary of a Wimpy Kid 3, Diary of a Wimpy Kid 4","Japan, Korea, Italy, Spain, Greece","Sushi, Ramen, Burgers, Chicken wings, Pasta","Apex Legends, Valorant, Pokemon, League of Legends, Minecraft","Spiderman, Spiderman 2, Spiderman 3, The Amazing Spiderman, The Amazing Spiderman 2","Comfortably Numb, Wish You Were Here, TIme, Money, Echoes","Java, C++, Javascript, Python, C","New York Knicks, New York Giants, Golden State Warriors, Milwaukee Bucks, Los Angelos Clippers","Friends, Criminal Minds, Squid Game, How to Get Away With Murder, The Walking Dead"
cyipguoli,Charles,Yip Guoli,cyg0719,yipguoli@me.com,"Chicken, Fish, Pig, Rabbit, Lamb","Game of Thrones, Xanathar's Guide to Everything, Van Richten's Guide to Ravenloft, Tasha's Cauldron of Everything, Volo's Guide to Monsters","Switzerland, Poland, Japan, Belgium, Norway","Feijoada, Pizza, Taco, Burrito, Dumpling","Dota2, League of Legends, Tibia,  Final Fantasy XIV, Tetris ","Avengers, Downfall, 1917, Paranormal Activity , Saw","The Final Cut, Stop, Seamus, Outside the Wall, Welcome to the machine","C, C++, C#, Python, Java","New York Yankees, Lakers, New York Giants, Philadelphia Eagles","Friends, Arcane, South Park, Breaking Bad, Shark Tank"
daniewu,Daniel,Wu,dwoo,dan@sabrina.com,"Bird, Fish, Cow, Pig, Goat","Harry Potter 1, Harry Potter 3, Harry Potter 5, Harry Potter 6, Harry Potter 7","Taiwan, Korea, Japan, United States, Sweden","Mr. Kim Teriyaki Steak and Cheese, Eel bowl, Salmon roll, Grilled Chicken, Chocolate","Wind Waker, Breath of the Wild, Skyward Sword, Twilight Princess, Majora's Mask","Harry Potter 1, Harry Potter 3, Harry Potter 5, Harry Potter 6, Harry Potter 7",,"C++, Python, Haskell, MIPS, LaTeX",,"Avatar, The Office, Rick and Morty, South Park, ?"
davidhuang,David,Huang,dummy,dummy123@gmail.com,,"Harry Potter, Percy Jackson, Hunger Games, Naruto, Bleach",,"Pizza, Milk, Beans, Fruits, Bread","LoL, Fortnite, CoC, CR, Genshin Impact","Avengers, Harry Potter, Avatar, Cars, Up",,"C, C++, Java, Python, Javascript",,
davsilverman,David,Silverman,daveed,ds@gmail.com,"Cow, Chicken, Pig, Turkey, Lamb",,"Finland, New Zealand, France, Norway, Sweden","Steak, Chicken, Pizza, Pancakes, Burger","Super Mario Galaxy 2, Pokemon White, Pikmin 3, Celeste, Plants vs Zombies","Avengers Infinity War, Hereditary, Kingsman, It Follows, A Quiet Place",,"Java, Javascript, MIPS, Python, OCaml",,"The Office, Criminal Minds, Black Mirror, Friends, Two and a Half Men"
derewang,Derek,Wang,admin,admin,"Chicken, cow, pig, fish, crab","The Big Book of Bugs, 1984, Heaven, Paradise Lost, Sadako and the Thousand Paper Cranes, The Algorithm Design Manual","China, Germany, Dominican Republic, Netherlands, New Zealand","Dumplings, Beef Noodle Soup, Scallion Pancakes, Lamb over Rice, Fries","League of Legends, Rimworld, Path of Exile, Minecraft, Starcraft 2","The Godfather 2, The Godfather, Terminator 2, I am Legend, Arrietty","Gunner's Dream, Comfortably Numb, Paranoid Eyes, Time, Shine On You Crazy Diamond","Python, Java, OCaml, MIPS, Standard ML of New Jersey","Barcelona, New York Yankees, Chicago Bulls, New England Patriots, Dallas Cowboys","Avatar, The Office, Full Metal Alchemist Brotherhood, Code Geass, Arcane"
dgarofolo,Dino,Garofolo,dsg715,dinog@gmail.com,"Chicken, Pig, Cow, Lamb, Fish","Jane Eyre, Great Expectations, 1984, Animal Farm, The Crucible","France, Japan, Italy, England, Canada","Avocado, Dumplings, Hamburgers, Asparagus, Mozzarella Sticks","Minecraft, Among Us, Kirby, Cookie Clicker, Fall Guys ","Whatever Happened to Baby Jane, MA, Toy Story, Spongebob Squarepants Movie, A Star is Born","Comfortably Numb, Time, Learning to Fly, Us and Them, Hey You","Java, Javascript, React, Angular, Vue","New York Yankees, New York Mets, New York Giants, New York Knicks, New York Rangers","Tom and Jerry, Spongebob Squarepants, Squid Game, Sesame Street, Twin Peaks"
dtung,Darren,Tung,dtung,darren_tung@hotmail.com,"Chicken, Lamb, Cow, Pig, Fish","Beat The Dealer, The World of Yesterday, How to Win Friends and Influence People, A Brief History of Time, The Great Gatsby","Japan, Germany, South Korea, Vietnam, Thailand","Fried Rice, Sushi, Dim Sum, French Toast, Orange","Fire Emblem, Osu, Pokemon, Blackjack, Monopoly","Fantasia, Spirited Away, Amadeus, Forrest Gump, Pulp Fiction",,"Python, R, SQL, Javascript, MATLAB","Los Angeles Rams, Toronto Blue Jays, New York Islanders, Phoenix Suns, Manchester City","Shark Tank, K-On, The Amazing Race, Star Trek, Hell's Kitchen"
echiu,Eric,Chiu,ec12345,ec12345@gmail.com,"Fish, Pig, Lamb, Cow, Chicken","Hamlet, The Catcher in the Rye, To Kill a Mockingbird, The Great Gatsby, Jane Eyre",,"Beef Soup, Fried Rice, Chicken Soup, Sushi, Dumplings",,,"Comfortably Numb, Wish You Were Here, Time, Shine On You Crazy Diamond, Money","Java, Python, C, JavaScript, OCaml",,
egrunblatt,Eric ,Grunblatt,egrunblatt,egrun@gmail.com,,,,"Sushi, Burgers, Pizza, Chocolate, Fries","Minecraft, GTA, COD, Battlefield, Rocket League ",,"Comfortably Numb, Time, Wish You Were Here, Breathe (In the Air), Us and Them","Java, JavaScript, Python, MIPS, Matlab","New York Mets, New York Jets, New York Nets, New Jersey Devils, New York Yankees",
elharris,Elijah,Harris,elharris,eliharr@wahooie.com,"Turkey, Cow, Chicken, Lamb, Fish",,"Japan, France, Spain, Italy, Greece",,"Super Smash Bros Ultimate, Super Mario Galaxy, Dragon Ball FighterZ, Nier Automata, Tetris","The Lion King, Toy Story, Fantasia, The Avengers, Inception",,"Python, Java, JavaScript, C++, TypeScript",,
erfan,Eric,Fan,erfan,12345@gmail.com,"Fish, cow, chicken, bison, lamb",,"Iceland, Germany, Switzerland, France, Japan","Steak, Burgers, Sushi, Noodles, Dim Sum","LOL, Minecraft, MHW, BTD6, BL3",,,"Java, Python, JavaScript, C++, Swift",,
erruan,Eric,Ruan,erruan,coolguy@xyz.com,"Cow, Chicken, Pig, Lamb, Fish",,"Japan, Hong Kong, Netherlands, France, Germany",,"Skyrim, Fallout 4, Breath of the Wild, Halo Reach, Guild Wars 2",,,"Python, TypeScript, JavaScript, Java, C",,"Breaking Bad, Better Call Saul, Bob's Burger, The Expanse, The Mandolorian "
eubaek,Eunbi,Baek,eubaek,eubaek@gmail.com,"Pig, Cow, Chicken, Turkey, Fish",,"Japan, Iceland, Norway, Sweden, Korea","Chicken, Steak, Ramen, Fried Rice, Sushi",,,,"Python, Java, JavaScript, C++, C",,"Lucifer, Arcane, You, HunterxHunter, Naruto"
gbellam,Gayatri,Bellam,gbell,gbell@gmail.com,,"Harry Potter and The Chamber of Secrets, The Son of Neptune, Anne of Green Gables, Nancy Drew, Sense and Sensibility","Italy, Mexico, Japan, Ireland, France","Chocolate, Ice Cream, Samosas, Biryani, Naan","Minecraft, GeoGuessr, Among Us, Crab Game, Poptropica",Home Alone,,"Java, Python, JavaScript, SQL, Swift",,"Shark Tank, The Rookie, 9-1-1, Schitt's Creek, The Flash "
gbermejo,,,,,,,,,,,,,,
gecheng,George,Cheng,gc12345,gc12345@yahoo.com,"Duck, Pig, Lamb, Cow, Chicken","Outliers, Hamlet, The Count of Monte Cristo, To Kill A Mockingbird, Inviting Disaster","Italy, Japan, United Kingdom, Isreal, Australia","Roast Duck, Pork Belly, Noodles, Tomatoes and Eggs, Mashed Potatoes","Earthbound, Pokemon, Minecraft, Super Smash Bros., Yugioh","Star Wars V, The Life of Brian, Megamind, Karate Kid (1984), Amores Perros","?, ?, ?, ?, ?","Java, Python, JavaScript, MIPS, OCaml","Stony Brook Seawolves, New York Knicks, Toranto Raptors, Boston Red Socks, Brooklyn Nets","Space Dandy, Courage the Cowardly Dog, Mob Psycho 100, Unsolved Mysteries, Steven Universe (Not Future)"
geliang,George,Liang,gliang,gliang@gmail.com,"Cow, Chicken, Pig, Lobster, Crab","The Great Gatsby, To Kill a Mockingbird, Odyssey, Hamlet, Pride and Prejudice","South Korea, Japan, China, Italy, Netherlands","Korean Fried Chicken, Corn Dogs, Dumplings, Pizza Rolls, Hot Pockets","Valorant, League of Legends, Apex Legends, Rust, CSGO",,,,,
glima,Gabriello,Lima,glima,glima@sbu.com,"Chicken, Cow, Pig, Duck, Fish","Harry potter, Harry potter 1, Harry potter 2, Harry potter 3, Harry potter 4","Germany, Norway, Sweden, Mexico, Russia","Pizza, Sesame Chicken, Shrimp Fried Rice, Avacado, Banana ","Rust, League of Legends, Monopoly, Risk, Stardew Valley","Toy Story, Toy Story 2, Toy Story 3, Toy Story 4, My Life is a Joke","Round and Around, Two sun in the Sunset, Obscured by clouds, Pow R. Toc H., Julia Dream","Java, Python, C, C++, C#","Minnesota Vikings, Green Bay Packers, Chicago Bears, Boston Red Sox, Colorado Rockies","Big Bang, Jeopardy, The Flash, Green Arrow, Kung Fu Panda: Legends of Awesomeness"
harrkim,Harry,Kim,hairy,hairyemail@yahoo.com ,"Chicken, Cow, Monkey",,"South Korea, Japan","Fried Chicken, Spaghetti","League of Legends, Red Dead Redemption 2",Spider-Man 2,,"Python, Java",,Arcane
haweng,Haoran,Weng,haweng,my@gmail.com,"Cow, Crab, Shrimp, Lobster, Chicken","The Miracles of the Namiya General Store, The Storied Life of A. J. Fikry, Three Body, The Alchemist, Journey Under the Midnight Sun","Japan, Britain, Italy, France, Canada","Ice Cream, Ramen, Sushi, Fried Rice, Pizza","Dark Souls, Monster Hunter, Skyrim, SMT, GTA","Spider man, The Dark Knight, The Day of the Doctor, 1917, Dead Poets Society ","Comfortably Numb, Wish You Were Here, Time, Shine On You Crazy Diamond, Money","Java, Python, MIPS, JavaScript, C","Houston Rockets, Chelsea, Manchester United, Lakers, Knicks","The Office, How I Met Your Mother,  The Grand Tour, Futurama, Doctor Who"
hedwang,Simon,Wang,hwang,great@simonh.wang,"Lamb, Cow, Pig, Chicken, Fish","The Three-Body Problem, 1984, Harry Potter,A Brief History of Humankind,The Little Prince","China, Japan, Britain, Sweden, North Korea","Hotpot, Sashimi, Dumplings, Fried Chicken, Ice Cream","Legend of Zelda: Breath of the Wild, DOTA2, Tetris, Super Smash Bros, Minecraft","Spider-Man Homecoming, Iron Man, Iron Man 2, Iron Man 3, Guardians of the Galaxy","?,?,?,?,?","Python, Java, Javascript, MIPS, Ocaml","?,?,?,?,?","Breaking Bad, SAO, Curb Your Enthusiasm, House, Doctor Who"
hkamran,Haris,Kamran,HarisK,Hk@gmail.com,"chicken, cow, shrimp, turkey, pig",,"Japan, Korea, China, Singapore, Thailand",,"Bravely Default, Nier: Automata, Persona 5, Fire Emblem, League of Legends",,,"Java, Python, Mips, C++, C#",,
hongcli,Hongcheng,Li,li2000317,HL@sbu.com,"chicken,pig,turkey",The Expanse,"CANADA,MEXICO",taco,"WOW,EVE",megamind,,"MIPS,Ocaml,Ruby",BLG,yes prime minister
hongzhu,Eddie ,Zhu,hongzhu,hongzhu@sbu.com,"pig, cow, chicken, lamb, fish","Harry Potter, The Giver, One Flew Over The Cuckoos Nest, 1984, Hunger Games","Korea, Canada, France, Netherlands, Germany","Pork Belly, Ribs, Steak, Fries, Broccoli","Call Of Duty, League of Legends, Mario Kart Tour, DOOM Eternal, CS:GO","Harry Potter, Spiderman 3, Kung Fu Panda, Karate Kid, 40 Year Old Virgin","Comfortably Numb, Time, Shine Crazy On You Diamond, Wish You Were Here, Hey You ","Java, Javascript, Python, C++, MIPS","New York Nets, New York Giants, New York Jets, New York Yankees, New York Mets",
hrrajput,Hruday,Rajput,hrrajput,untxrned@gmail.com,"Chicken, Pig, Lamb, ?, ?","Harry Potter, The Order of Time, Rich Dad Poor Dad, 48 Laws of Power, Supermarket","Switzerland, Greenland, India, UAE, Italy","Halal Cart Food, Indian Food, Pizza, Chocolates, Sweets","Gran Turismo Sport, GTA, Fortnite, Call of Duty, F1","Interstellar, Inception, Iron Man Series, The Social Network, Wolf of Wall Street",,"Java, Python, JavaScript, Ruby, MIPS",,"Breaking Bad, Ozark, Prison Break, Narcos, Money Heist"
hualin1,hua,lin,hualin1,HL@sbu.com,"chicken,pig,turkey",,"china,korea",BBQ,LOL,Spider man,"Shine On You Crazy Diamond, Comfortably Numb, Pigs(Three Different Ones), Echoes(Live at Pompeii), Time","java,python,",New York Nets,"Breaking Bad, Ozark, Prison Break, Narcos, Money Heist"
huang42,Alex,Huang,ape,ape@gmail.com,"chicken, cow, pig, duck, turkey","I,don't,read,any,books","I'll,die,never,leaving,new york","fried chicken,burgers,pizza,sandwhiches,lasgna","val,cs,tft,chess,cookie clicker","random movie 1,2,3,4,5",too young to know what this is,"java,java,java,java,java",,
hyeocho,John,Cho,hyeocho,jc@gmail.com,"chicken, cow, pig, duck, turkey","Lord of the flies,  Harry Potter,  hunger game,  Iliad, Odyssey","korea, russia, Ukraine, Japan, Germany","pizza, sandwich, hamburger, sushi, ramen","league of legends, starcraft, maplestory, overwatch, hearthstone","chronicles of Narnia, lord of the rings, spiderman, avengers, venom","?, ?, ?, ?, ? ","C, Java, Python, Javascript, MIPS","Chelsea, Manchester United, Liverpool, Wolves, Man City","?,?,?,?,?"
jalliu,Jack,Liu,jalliu,jack@liu.com,"chicken, cow, pig, shrimp, fish","A Wrinkle In Time, Jurassic Park, And Then There Were None, The Great Gatsby, Artemis Fowl","China, Japan, Korea, Canada, England","Steak, Sushi, Pizza, Fried Chicken, Dumplings","TFT, Valorant, League of Legends, Minecraft, Red Alert 2","Shang-Chi, Endgame, Parasite, Infinity War, Inside Out","Shine On You Crazy Diamond, Comfortably Numb, Pigs(Three Different Ones), Echoes(Live at Pompeii), Time","Java, C, Python, Javascript, MIPS","New York Nets, New York Giants, New York Jets, New York Yankees, New York Mets","Arcane, Squid Game, House MD, Brooklyn Nine Nine, Psych"
jarichichi,Jacob,Richichi,jarichichi,richichichichi@gmail.com,"chickens, cows, pigs, flounder, salmon",,"Sweden, Netherlands, Japan, South Korea, Australia","Pizza, chicken tendies, salad, ravioli, burrito","Madden, Rocket League, CSGO, NBA 2K, Crab Games","Boiler Room, Hannibal, Cabin in the Woods, Paul Blart Mall Cop, Training Day","several species of small furry animals gathered together in a cave and grooving with a pict, I Love Rock and Roll, I wanna hold your hand, don't stop believin, back in black","Fortran, Python, Java, Javascript, SQL","Nets, Mets, Jets, Giants, Knicks","Curb Your Enthusiasm, Impractical Jokers, Mr. Robot, Breaking Bad"
jasguo,Jason,Guo,jasguo,jasguo@gmail.com,"Chicken, Cow, Pig, Duck, Fish",,"Japan, South Korea, Germany, United Kingdom, Taiwan",,"Halo, Call Of Duty, League of Legends, Minecraft, Final Fantasy 14",,"Comfortably Numb, Shine On You Crazy Diamond, Wish You Were Here, Time,  Money","Javascript, Java, Python, C, C#",,
